,location,size,total_sqft,price
500,other,2,720.0,45.0
501,Lingadheeranahalli,3,1511.0,95.0
502,other,3,1300.0,58.0
503,Hoodi,3,1545.0,68.75
504,Shampura,1,375.0,26.0
505,Vidyaranyapura,2,1062.0,38.0
506,other,2,1115.0,40.0
507,JP Nagar,2,1000.0,35.0
508,Kambipura,2,883.0,45.0
509,Sarjapur  Road,2,1195.0,70.0
510,other,4,1200.0,165.0
511,other,1,700.0,41.0
512,Vittasandra,2,1246.0,67.0
513,8th Phase JP Nagar,4,660.0,90.0
514,Banashankari Stage III,4,8500.0,145.0
515,other,4,1600.0,80.0
517,Begur Road,3,1584.0,65.0
519,Hosur Road,3,1175.0,48.0
520,other,3,1595.0,115.0
521,other,2,1353.0,110.0
522,Electronic City,3,1599.0,125.0
523,Whitefield,2,1150.0,70.0
525,KR Puram,2,1155.0,42.74
526,other,1,1200.0,85.0
527,Electronic City Phase II,2,1000.0,25.0
528,Thanisandra,4,3000.0,120.0
529,Rajiv Nagar,3,1867.0,160.0
530,Ramagondanahalli,2,1251.0,47.0
531,other,2,1028.0,45.5
532,Arekere,2,1222.0,45.0
533,Bannerghatta Road,3,1170.0,66.0
535,other,3,1385.0,48.48
536,HSR Layout,2,1372.0,68.0
537,Magadi Road,3,1282.0,49.0
540,Kanakpura Road,2,1135.0,39.73
541,Whitefield,3,1768.0,101.0
542,other,3,1325.0,90.0
543,Electronic City,3,1599.0,99.0
544,Whitefield,3,1500.0,61.95
546,Uttarahalli,2,1286.0,63.0
548,other,3,1600.0,50.0
549,Hennur Road,2,1317.5,63.77
551,Munnekollal,2,1102.0,53.67
552,Yelahanka,2,1350.0,54.0
553,Banashankari,3,1200.0,42.0
555,other,2,1800.0,80.0
556,Chikkabanavar,2,950.0,40.0
557,Kanakpura Road,1,525.0,27.25
558,Attibele,2,656.0,25.0
559,Marathahalli,4,1780.0,175.0
560,other,2,1056.0,80.0
561,Bannerghatta Road,1,595.0,33.32
562,other,2,1080.0,50.0
563,7th Phase JP Nagar,3,2225.0,160.0
564,Bommasandra,2,1126.0,28.15
565,Electronics City Phase 1,3,1490.0,84.0
567,Sarjapur  Road,3,1550.0,100.0
569,other,2,1160.0,55.0
571,Sarjapur  Road,3,2100.0,125.0
572,Vittasandra,2,1404.0,69.3
574,other,3,1544.0,120.0
575,Banashankari Stage III,3,1305.0,58.7
576,Marathahalli,2,1230.0,80.0
577,other,2,1200.0,65.0
578,Harlur,3,1460.0,73.0
580,Gottigere,2,967.0,45.0
581,other,1,540.0,36.0
582,Hormavu,1,715.0,46.0
584,other,3,1578.0,180.0
585,Mysore Road,2,1020.0,48.95
586,Jigani,2,1020.0,40.0
587,Koramangala,2,1253.0,102.0
588,other,2,1180.0,42.0
589,Nehru Nagar,2,961.0,38.0
590,Kanakapura,3,1419.0,75.0
591,Harlur,3,1709.0,150.0
592,other,2,1600.0,115.0
593,other,1,416.0,18.5
594,Sanjay nagar,2,1100.0,98.0
595,HSR Layout,3,1430.0,65.0
596,other,2,1260.0,45.0
597,other,3,1630.0,85.0
598,Sarjapur  Road,3,1249.0,44.71
599,Kalena Agrahara,3,1450.0,85.0
601,other,1,600.0,90.0
602,other,1,834.0,60.0
603,other,3,1125.0,70.0
604,Arekere,3,2060.0,140.0
606,Gottigere,2,891.0,25.0
607,Raja Rajeshwari Nagar,2,1133.0,49.07
608,Bisuvanahalli,3,1075.0,37.0
611,Vidyaranyapura,2,1200.0,55.0
612,Thanisandra,2,1075.0,45.8
613,Kaggadasapura,2,1140.0,40.0
616,Raja Rajeshwari Nagar,2,1090.0,42.0
617,R.T. Nagar,4,1500.0,70.0
619,Whitefield,3,1790.0,100.0
620,Hebbal,3,1920.0,134.0
621,HRBR Layout,2,1374.0,95.0
622,Bannerghatta Road,3,1445.0,95.0
623,Kanakapura,1,711.0,36.0
624,Tumkur Road,3,1500.0,95.0
625,Whitefield,3,1720.0,100.0
626,other,3,1400.0,60.0
627,Kundalahalli,2,1030.0,49.0
628,Mysore Road,2,1200.0,85.0
629,other,3,1375.0,70.0
630,Hegde Nagar,2,1050.0,56.0
631,Jalahalli,3,2250.0,160.0
632,Bellandur,2,1000.0,50.0
633,other,1,469.0,25.0
635,Kambipura,2,883.0,29.0
636,GM Palaya,3,1820.0,86.0
637,Singasandra,3,1440.0,65.0
640,Mahadevpura,2,1225.0,48.0
642,Chikkalasandra,2,875.0,52.8
643,Jalahalli East,1,750.0,40.0
644,6th Phase JP Nagar,2,1180.0,80.0
645,Haralur Road,2,1194.0,47.0
646,Hennur Road,3,1500.0,62.0
647,other,2,1160.0,52.2
650,Sarjapur,2,1128.0,60.0
651,Hebbal,3,1500.0,150.0
652,other,3,1220.0,35.23
653,Sarjapur  Road,2,1210.0,58.0
654,Kanakpura Road,3,1100.0,58.0
655,Bommasandra,3,1200.0,46.0
657,other,3,1641.0,66.0
658,Horamavu Agara,2,1200.0,45.0
659,Raja Rajeshwari Nagar,2,1260.0,67.39
660,Mahadevpura,3,1720.0,78.0
661,Yelahanka,2,1132.5,48.13
662,Yelahanka,2,1210.0,45.98
664,Bisuvanahalli,3,1075.0,45.0
665,Thanisandra,3,1702.0,130.0
667,Raja Rajeshwari Nagar,2,1141.0,38.55
668,other,3,2072.0,108.0
670,other,3,1200.0,70.0
671,other,3,1350.0,77.0
673,other,3,1180.0,78.34
674,Yelahanka,3,35000.0,130.0
675,other,2,1355.0,115.0
676,other,1,600.0,50.0
678,Bannerghatta Road,3,1640.0,120.0
680,Kodichikkanahalli,3,1190.0,57.0
682,Marathahalli,2,1019.0,49.85
683,other,3,1875.0,165.0
684,Akshaya Nagar,3,1250.0,40.0
685,Brookefield,3,1200.0,140.0
686,Whitefield,2,1140.0,56.0
687,Lingadheeranahalli,3,1683.0,109.0
688,Kaggadasapura,3,1515.0,83.3
689,Hoodi,4,2118.0,111.0
690,Bannerghatta Road,4,1380.0,58.0
691,Varthur Road,2,1083.0,61.75
692,other,2,600.0,55.0
693,other,3,2300.0,120.0
694,other,2,1240.0,60.0
695,other,3,1750.0,120.0
696,other,2,1230.0,43.48
697,Anjanapura,3,1500.0,139.0
698,Abbigere,2,985.0,40.39
699,Tindlu,3,1500.0,87.0
700,Electronic City,2,1125.0,32.49
701,other,2,950.0,44.0
703,Kothanur,3,1580.0,76.0
704,other,3,1092.0,98.5
705,Electronic City Phase II,2,1090.0,28.34
706,Hennur Road,3,2264.0,159.0
707,Dommasandra,3,1033.0,25.53
708,Kammasandra,2,810.0,24.5
709,other,2,1045.0,45.0
710,Hebbal,2,1337.0,82.0
711,Chandapura,2,1200.0,32.0
712,Koramangala,3,1580.0,160.0
713,Begur Road,3,1500.0,54.0
714,Whitefield,3,1640.0,91.0
715,other,3,1570.0,62.0
716,Gubbalala,3,1470.0,82.0
717,Kengeri,2,1160.0,40.61
718,7th Phase JP Nagar,2,1050.0,71.0
720,Bannerghatta Road,3,1460.0,90.0
721,Hulimavu,3,1823.0,100.0
722,Electronic City,2,1094.0,42.0
723,Budigere,2,1153.0,57.0
724,other,3,1325.0,57.0
725,other,4,1200.0,85.0
726,Jakkur,3,1590.0,125.0
729,other,2,1202.0,48.0
730,Haralur Road,2,1202.0,53.0
731,other,2,1200.0,62.5
732,Panathur,3,1688.0,118.0
733,Kaval Byrasandra,2,1020.0,52.0
734,Sarjapur,2,1185.0,47.0
735,Ramagondanahalli,2,1235.0,52.04
737,Banashankari,2,1077.0,37.64
738,Kengeri Satellite Town,3,1415.0,66.0
739,EPIP Zone,3,2330.0,162.0
740,Whitefield,2,805.0,35.0
741,other,1,425.0,20.03
742,Whitefield,2,1155.0,59.95
744,Anekal,2,656.0,22.0
745,other,2,1100.0,48.0
746,Mahadevpura,2,1150.0,52.0
747,other,1,600.0,60.0
748,other,2,1468.0,140.0
750,Whitefield,3,2280.0,126.0
751,Hegde Nagar,2,1341.0,97.0
752,Jakkur,2,1279.0,77.0
753,Electronic City Phase II,4,2225.0,98.88
754,Thanisandra,2,1185.0,43.51
755,other,3,1750.0,85.0
756,Kudlu,2,1152.0,53.5
758,Hulimavu,2,1300.0,36.0
759,Varthur Road,4,2760.0,155.0
760,5th Phase JP Nagar,2,1070.0,39.0
761,Uttarahalli,2,1101.0,45.0
762,other,2,775.0,55.0
763,Yeshwanthpur,1,667.0,36.85
764,Electronic City,2,1070.0,55.0
765,Old Airport Road,3,1875.0,110.0
766,Kundalahalli,2,735.0,57.99
768,Koramangala,3,1750.0,130.0
769,Marathahalli,2,1215.0,67.0
771,Vishwapriya Layout,2,820.0,30.0
772,Banashankari Stage VI,2,1177.5,59.935
773,Battarahalli,3,1779.0,89.61
774,other,2,1105.0,58.0
776,Whitefield,3,1650.0,60.0
777,Jalahalli,2,1694.0,150.0
779,Cox Town,3,1975.0,150.0
780,Kammasandra,2,674.0,33.0
781,Kaggadasapura,2,1185.0,41.0
782,Thanisandra,1,445.0,28.0
784,HSR Layout,3,1475.0,75.0
785,Gottigere,3,1618.0,82.5
786,Koramangala,2,1120.0,65.0
787,Marathahalli,4,2181.0,152.0
788,Vidyaranyapura,4,1200.0,90.0
790,Bannerghatta Road,3,1556.0,59.13
791,Bannerghatta Road,2,1179.0,66.02
792,Thanisandra,2,1296.0,83.0
793,Kaggadasapura,2,1275.0,52.0
795,Kathriguppe,3,1400.0,77.0
796,Gottigere,2,1222.0,63.0
797,Electronic City,2,940.0,41.0
798,Thanisandra,2,1185.0,42.6
799,Tumkur Road,3,1779.0,112.0
800,Begur Road,3,1615.0,59.76
802,Haralur Road,2,1056.0,61.0
803,7th Phase JP Nagar,2,1100.0,46.0
804,Arekere,2,920.0,40.0
805,other,3,1602.0,75.0
806,Padmanabhanagar,2,1176.0,62.0
807,HBR Layout,4,675.0,59.0
808,other,3,1352.0,135.0
809,Kasavanhalli,3,1717.0,99.0
810,other,4,10961.0,80.0
811,Bhoganhalli,4,2119.0,111.0
812,Vittasandra,2,1246.0,67.3
813,Anandapura,2,1141.0,42.79
814,Hennur Road,2,1157.0,84.0
815,Chandapura,2,1025.0,27.68
816,Yelahanka New Town,1,650.0,33.0
817,Hebbal,2,1349.0,98.0
818,other,3,1566.0,83.3
820,Electronic City,3,1320.0,38.13
821,other,3,1780.0,84.83
822,Varthur,2,1091.0,34.9
824,7th Phase JP Nagar,2,918.0,50.49
825,Yeshwanthpur,4,1950.0,130.0
826,Panathur,3,1695.0,90.0
827,Yelahanka,3,1705.0,95.0
828,Kalyan nagar,3,1375.0,75.0
829,Kanakpura Road,1,525.0,30.0
830,Whitefield,2,1447.0,83.0
831,Thanisandra,2,1114.0,39.0
832,7th Phase JP Nagar,3,1450.0,100.0
833,other,2,460.0,15.0
834,other,2,1022.0,40.0
835,Hebbal,2,1000.0,45.0
836,Electronic City,2,1128.0,68.75
837,Kanakpura Road,2,1180.0,57.0
839,Nagarbhavi,2,1200.0,150.0
841,Kanakpura Road,2,1339.0,75.0
842,Yelachenahalli,3,1400.0,55.0
843,7th Phase JP Nagar,2,1040.0,39.52
844,Kadugodi,2,1198.0,58.0
845,other,4,1200.0,95.0
846,Sarjapur  Road,3,1691.0,113.0
847,Bisuvanahalli,3,1075.0,36.0
849,8th Phase JP Nagar,3,1240.0,43.5
850,Bannerghatta Road,2,1122.5,58.935
851,Mallasandra,3,1665.0,86.58
852,Marathahalli,3,2489.0,94.0
853,Brookefield,2,1142.0,70.0
854,other,3,1976.0,184.0
856,Kothannur,3,1853.0,82.0
858,Kasturi Nagar,2,1567.0,92.0
859,Talaghattapura,2,1090.0,27.24
862,Electronics City Phase 1,2,1175.0,51.47
863,Subramanyapura,2,1200.0,52.0
864,Kodichikkanahalli,2,995.0,41.0
865,Magadi Road,2,884.0,41.1
